# Age (lower edge), Age (upper edge), Log Gross Income (lower edge), Log Gross Income (upper edge),Probability
15,25,9.1239109,9.24516479,0.079617834
15,25,9.24516479,9.36641868,0.060509554
15,25,9.36641868,9.48767257,0.073248408
15,25,9.48767257,9.60892646,0.098726115
15,25,9.60892646,9.73018035,0.079617834
15,25,9.73018035,9.85143424,0.089171975
15,25,9.85143424,9.97268813,0.070063694
15,25,9.97268813,10.09394202,0.073248408
15,25,10.09394202,10.21519591,0.079617834
15,25,10.21519591,10.3364498,0.079617834
15,25,10.3364498,10.45770369,0.054140127
15,25,10.45770369,10.57895758,0.054140127
15,25,10.57895758,10.70021147,0.01910828
15,25,10.70021147,10.82146536,0.038216561
15,25,10.82146536,10.94271925,0.012738854
15,25,10.94271925,11.06397314,0.00955414
15,25,11.06397314,11.18522703,0.015923567
15,25,11.18522703,11.30648092,0.003184713
15,25,11.30648092,11.42773481,0.003184713
15,25,11.42773481,11.5489887,0.02866242
15,25,11.5489887,11.67024259,0.02866242
15,25,11.67024259,11.79149648,0.003184713
15,25,11.79149648,11.91275037,0.003184713
15,25,11.91275037,12.03400426,0
15,25,12.03400426,12.15525815,0
25,35,9.1239109,9.24516479,0.017159763
25,35,9.24516479,9.36641868,0.018343195
25,35,9.36641868,9.48767257,0.026627219
25,35,9.48767257,9.60892646,0.035502959
25,35,9.60892646,9.73018035,0.043786982
25,35,9.73018035,9.85143424,0.061538462
25,35,9.85143424,9.97268813,0.068639053
25,35,9.97268813,10.09394202,0.074556213
25,35,10.09394202,10.21519591,0.09112426
25,35,10.21519591,10.3364498,0.104142012
25,35,10.3364498,10.45770369,0.070414201
25,35,10.45770369,10.57895758,0.091715976
25,35,10.57895758,10.70021147,0.095266272
25,35,10.70021147,10.82146536,0.071597633
25,35,10.82146536,10.94271925,0.047928994
25,35,10.94271925,11.06397314,0.039053254
25,35,11.06397314,11.18522703,0.018343195
25,35,11.18522703,11.30648092,0.013017751
